x,y
-2.705788288905495,2.7907288688677315e-07
-2.7000211566013297,2.945186347467909e-07
-2.6942540242971647,3.1078540966803076e-07
-2.688486891992999,3.2791491818861584e-07
-2.6827197596888337,3.459508783949328e-07
-2.6769526273846687,3.649391112273807e-07
-2.671185495080503,3.84927635637111e-07
-2.6654183627763377,4.0596676774168015e-07
-2.6596512304721727,4.2810922413259335e-07
-2.653884098168007,4.5141022949279395e-07
-2.648116965863842,4.7592762868743545e-07
-2.6423498335596767,5.017220034967485e-07
-2.636582701255511,5.288567941652674e-07
-2.630815568951346,5.573984259475164e-07
-2.6250484366471807,5.874164408360225e-07
-2.619281304343015,6.189836346635296e-07
-2.61351417203885,6.521761997775311e-07
-2.6077470397346847,6.870738734914792e-07
-2.601979907430519,7.237600925234863e-07
-2.596212775126354,7.623221536400803e-07
-2.5904456428221887,8.028513807292574e-07
-2.584678510518023,8.454432985340423e-07
-2.578911378213858,8.901978132849905e-07
-2.5731442459096927,9.372194004772451e-07
-2.5673771136055272,9.866173000452352e-07
-2.561609981301362,1.03850571919581e-06
-2.5558428489971967,1.0930040431683058e-06
-2.5500757166930312,1.1502370541980325e-06
-2.544308584388866,1.210335158967866e-06
-2.5385414520847007,1.273434624840901e-06
-2.5327743197805352,1.3396778251755304e-06
-2.52700718747637,1.409213494033193e-06
-2.5212400551722047,1.4821969905976813e-06
-2.5154729228680397,1.558790573633906e-06
-2.509705790563874,1.6391636863234665e-06
-2.5039386582597087,1.7234932518233294e-06
-2.4981715259555437,1.8119639799038905e-06
-2.4924043936513782,1.9047686850321114e-06
-2.4866372613472127,2.002108616275396e-06
-2.4808701290430477,2.1041937994120605e-06
-2.4751029967388822,2.21124339164433e-06
-2.4693358644347168,2.3234860493201746e-06
-2.4635687321305517,2.4411603090811868e-06
-2.4578015998263862,2.5645149828640275e-06
-2.4520344675222208,2.6938095671941404e-06
-2.4462673352180557,2.8293146672214764e-06
-2.4405002029138902,2.9713124359591595e-06
-2.4347330706097248,3.120097029197336e-06
-2.4289659383055597,3.275975076576221e-06
-2.4231988060013943,3.4392661693138022e-06
-2.417431673697229,3.610303365095563e-06
-2.4116645413930637,3.7894337106457108e-06
-2.4058974090888983,3.977018782511226e-06
-2.400130276784733,4.173435246602542e-06
-2.3943631444805678,4.3790754370468814e-06
-2.3885960121764023,4.5943479549228215e-06
-2.3828288798722372,4.819678287457088e-06
-2.3770617475680718,5.055509448277613e-06
-2.3712946152639063,5.302302639329162e-06
-2.3655274829597412,5.560537935071328e-06
-2.3597603506555758,5.830714989591038e-06
-2.3539932183514103,6.113353767275117e-06
-2.3482260860472453,6.408995297701456e-06
-2.3424589537430798,6.7182024554204456e-06
-2.3366918214389143,7.0415607653113315e-06
-2.3309246891347493,7.379679234211607e-06
-2.325157556830584,7.733191209530924e-06
-2.3193904245264183,8.102755265573296e-06
-2.3136232922222533,8.489056118305926e-06
-2.307856159918088,8.89280556932515e-06
-2.3020890276139223,9.314743479783265e-06
-2.2963218953097573,9.755638775053806e-06
-2.290554763005592,1.0216290480924923e-05
-2.2847876307014268,1.0697528792123686e-05
-2.2790204983972613,1.1200216173988101e-05
-2.273253366093096,1.1725248498113909e-05
-2.2674862337889308,1.2273556212818632e-05
-2.2617191014847653,1.2846105549275925e-05
-2.2559519691806,1.3443899764185316e-05
-2.250184836876435,1.4067980419856404e-05
-2.2444177045722693,1.4719428702596301e-05
-2.238650572268104,1.5399366780301612e-05
-2.232883439963939,1.6108959200167664e-05
-2.2271163076597733,1.684941432743883e-05
-2.221349175355608,1.7621985826133257e-05
-2.215582043051443,1.842797418268776e-05
-2.2098149107472773,1.9268728273477195e-05
-2.204047778443112,2.0145646977171735e-05
-2.198280646138947,2.106018083290702e-05
-2.1925135138347813,2.201383374524886e-05
-2.1867463815306163,2.3008164736941604e-05
-2.180979249226451,2.4044789750441867e-05
-2.1752121169222853,2.5125383499238843e-05
-2.16944498461812,2.6251681369977635e-05
-2.163677852313955,2.7425481376400667e-05
-2.1579107200097893,2.8648646166133716e-05
-2.1521435877056243,2.9923105081341613e-05
-2.146376455401459,3.125085627429091e-05
-2.1406093230972933,3.263396887885067e-05
-2.134842190793128,3.407458523897331e-05
-2.129075058488963,3.5574923195194535e-05
-2.1233079261847974,3.713727843019357e-05
-2.1175407938806323,3.876402687445424e-05
-2.111773661576467,4.045762717306965e-05
-2.1060065292723014,4.222062321472491e-05
-2.1002393969681363,4.4055646723897746e-05
-2.094472264663971,4.5965419917306186e-05
-2.088705132359806,4.7952758225628806e-05
-2.0829380000556403,5.002057308152232e-05
