bins,hist,errors
-2.3507236672899015,0.003826530612244898,0.0010932944606413995
-2.096755483024083,0.0041909620991253645,0.0010932944606413995
-1.8427872987582643,0.0041909620991253645,0.0013666180758017492
-1.5888191144924457,0.00619533527696793,0.0018221574344023323
-1.3348509302266272,0.01239067055393586,0.0036443148688046646
-1.0808827459608086,0.016217201166180757,0.004919825072886298
-0.82691456169499,0.03279883381924198,0.009930758017492712
-0.5729463774291714,0.054300291545189505,0.015761661807580176
-0.31897819316335285,0.11042274052478133,0.03188775510204082
-0.06501000889753428,0.16873177842565598,0.05065597667638484
0.1889581753682843,0.18221574344023322,0.052387026239067054
0.4429263596341029,0.15178571428571427,0.04436953352769679
0.6968945438999214,0.09256559766763849,0.02642128279883382
0.95086272816574,0.06158892128279883,0.018221574344023325
1.2048309124315586,0.03553206997084548,0.010568513119533527
1.4587990966973772,0.023870262390670555,0.007379737609329446
1.7127672809631962,0.016581632653061226,0.0047376093294460644
1.9667354652290143,0.008746355685131196,0.0027332361516034984
2.2207036494948325,0.00674198250728863,0.0020043731778425656
2.4746718337606515,0.0047376093294460644,0.0010932944606413995
2.72864001802647,0.0023688046647230322,0.0006377551020408163
